"day","date","pccpue"
-10,2016-05-21,0.798608129807952
-9,2016-05-22,0.942015707333926
-8,2016-05-23,1.11088687744813
-7,2016-05-24,1.30963063534318
-6,2016-05-25,1.54337580928613
-5,2016-05-26,1.81807168102362
-4,2016-05-27,2.14059599109486
-3,2016-05-28,2.51886795831218
-2,2016-05-29,2.96196239115259
-1,2016-05-30,3.48021888728881
0,2016-05-31,4.08533741328288
1,2016-06-01,4.79044816741154
2,2016-06-02,5.61013956197236
3,2016-06-03,6.56042355233732
4,2016-06-04,7.65861273156009
5,2016-06-05,8.92307925120114
6,2016-06-06,10.372862780042
7,2016-06-07,12.0270949135762
8,2016-06-08,13.9042127064675
9,2016-06-09,16.0209466021198
10,2016-06-10,18.3910900748437
11,2016-06-11,21.024090878653
12,2016-06-12,23.9235458840117
13,2016-06-13,27.0857287133104
14,2016-06-14,30.4983232624155
15,2016-06-15,34.1395644622989
16,2016-06-16,37.9779864974439
17,2016-06-17,41.9729370763871
18,2016-06-18,46.0759312500384
19,2016-06-19,50.2327991419565
20,2016-06-20,54.386451322023
21,2016-06-21,58.4799742120257
22,2016-06-22,62.4597053723525
23,2016-06-23,66.2779423883818
24,2016-06-24,69.8950082448465
25,2016-06-25,73.2805111615339
26,2016-06-26,76.4137676573193
27,2016-06-27,79.2834738351535
28,2016-06-28,81.8867903362485
29,2016-06-29,84.2280431635536
30,2016-06-30,86.3172397793968
31,2016-07-01,88.1685691838341
32,2016-07-02,89.799009878006
33,2016-07-03,91.2271226188714
34,2016-07-04,92.4720637016025
35,2016-07-05,93.5528231042791
36,2016-07-06,94.4876709251335
37,2016-07-07,95.2937838747453
38,2016-07-08,95.9870190029116
39,2016-07-09,96.5818020716189
40,2016-07-10,97.0911010705536
41,2016-07-11,97.5264598242887
42,2016-07-12,97.8980714521516
43,2016-07-13,98.2148760026219
44,2016-07-14,98.4846705787226
45,2016-07-15,98.7142235820175
46,2016-07-16,98.9093873335005
47,2016-07-17,99.0752053470422
48,2016-07-18,99.2160120295428
49,2016-07-19,99.3355236607507
50,2016-07-20,99.4369202568087
